skill	digest	mode_digest	source_commit
commit	23e2f2d846ee162f116f8080624f9c988b91f9d1d3caee895b8fcc588d560b3a	cbc23b966ce9ba23f6486f81540aa47884c3c07d38cb99131fe9950acde9dbe4	7d3b9bf72e03081fff54d31799884be1386a023b
commit	35c00e14f4ddffb05ceb1409d850afa64b52a516beeac7d71836853c67e41ef2	b6008bf110d9895f904066bc4dadce0840a1c27aee0307993e951726b3cff237	7580790daa10d42dd2c521b12314414dd072a15f
commit	cc4e32e42e605749762dc3fb7db7afddd2ed355ab1a834f0dbf17642eb31abfb	055fb3c59a33940dbd643ee20c3e12b6481219a7ab83828b38ca060dabfc17c9	92981eaf43a0c37c8154f3e1c9730b9d95ea5ae4
commit	dbaab1f2be4b3c918398a6686cc9b6b4ea3c71f2a81a74a442f718e59ac09d1a	791c5568049759c7bef38245d5021660e4a3919fa58ab21922fe45c50356e8ca	03a81e749824eb29da5f3b0ef34ac8d5f5f3727f
debug	d21e8cd7268d60e4fb43bc84e782a024063fba0d73890a46933983cf28c7c2a7	31c956d3d88a941ace9856dff9acc59bac533cc3a2d13cbf3baaf106b80b4781	7580790daa10d42dd2c521b12314414dd072a15f
decision-record	29a7b20b2c8f7c74bb280de242c0d46c962d50b47e40963683453c4ad09ea7aa	d945b4ec0ccd5386f4667025fe4e4e67c96dc71ca586d562f850ed7c9f177c25	7580790daa10d42dd2c521b12314414dd072a15f
dependency-maintenance	7d74081b2502dacdd91af7b50a4076fa91ebe7f4d2a094b4ccb054ea5c0c3858	7d78b0d19a5a90373877eecb9e6db803b02c7205dcad1829a0dbee1a94d363f9	7580790daa10d42dd2c521b12314414dd072a15f
ee-breakdown	c872c4dd08f0f573fce77536dc09cb1c627640eccae6babceee373cc3be25be4	a196ba97de479a82d0c202085667f4718dfe18193eca9d80de7721e602bf1aa2	92981eaf43a0c37c8154f3e1c9730b9d95ea5ae4
ee-clarify	dea72d4f9e00968971d95a136343905a7b78cfe80487d6031487c20c9c2f5411	bafd79a64b7478a7e3fb67e57de05169f215da74a4298439dbaf7229e7ed9427	92981eaf43a0c37c8154f3e1c9730b9d95ea5ae4
ee-control-plane	31499d5ca7731eb5cdf29ad66fbbf316253aeccd5e5a8bfb957e1b44f480a879	5b491f2a9ba7a8851e814ff8ec0c98bec2b7520f97c86fbdd2b49465d1263b0f	92981eaf43a0c37c8154f3e1c9730b9d95ea5ae4
equal-experts-workflow	1a897de075a9ebac49eea07a074e23a1ba3914a0635210b5c460658d66397556	961af776391b964c5f3cb5fad3671baf4e05734fa2b23d3df92939b143e5c032	92981eaf43a0c37c8154f3e1c9730b9d95ea5ae4
equal-experts-workflow	cb3ddf8b60ebd092f4f4f1cef9e8ce08896ab850cdd707673a08e5410399a407	693ab03fe3ee2385bc89cc6aac956ba6ad0dfd0b07094de88e127fabe0dbf327	7580790daa10d42dd2c521b12314414dd072a15f
git-workflow	cfacbe4bf9136249044de6c94273ed2f6ffa3a33d85722b97f394ae9fb213737	71245801a8861f4b968fa5e5d0b331c101a6dbb5ac580204df871fa96a0cda91	03a81e749824eb29da5f3b0ef34ac8d5f5f3727f
local-review	b8d1b1e42e731454d6d8ff285591193bcfaa87ef0ad159cc12bc1fdf3c8a85a8	0b47a776fe723159c5d674d2046e51bdb89979c12761220f3ed3375bf1224c7c	7580790daa10d42dd2c521b12314414dd072a15f
quality-gate	3ec604f485855a17020a0acf9103ae2b4b82d5decb718d1bf0cbe9d4dfac09ac	39763700e61326fe607d36553c974cc68afdf500f41c7de8e2926f05081e59ca	7580790daa10d42dd2c521b12314414dd072a15f
ralph	d99859f37d2cf7ea4c54a73f34de46ea838aa6c3a341586bf7459755a00eb75e	6f4a9f7369d10c7c45c6afe7d4a6a76e08f8b128d2cef0a377e9638cbbd4c856	92981eaf43a0c37c8154f3e1c9730b9d95ea5ae4
release-readiness	6b5b3468951d99d31500e1dae48c606e7929e980169575104260179446a92b0a	40f04a15e641c473c4c17243cd50eec2e236b1733a55667cf7a7d5269b133038	7580790daa10d42dd2c521b12314414dd072a15f
repo-map	4e535a291b8d27792d12dfd60181e1ab5dc5aeb071f4f8aeb48ef80acd1db4f5	6d5e5e2823ceb3898d0212fc8e76455b039c3d2cfe25211ee5aefe61b6a870a6	7580790daa10d42dd2c521b12314414dd072a15f
